GAME_ID,GAME_DT,PARK_ID
ANA201004050,100405,ANA01
ANA201004060,100406,ANA01
ANA201004070,100407,ANA01
ANA201004080,100408,ANA01
ANA201004090,100409,ANA01
ANA201004100,100410,ANA01
ANA201004110,100411,ANA01
ANA201004190,100419,ANA01
ANA201004200,100420,ANA01
ANA201004210,100421,ANA01
ANA201004220,100422,ANA01
ANA201004230,100423,ANA01
ANA201004240,100424,ANA01
ANA201004250,100425,ANA01
ANA201004260,100426,ANA01
ANA201004270,100427,ANA01
ANA201004280,100428,ANA01
ANA201005100,100510,ANA01
ANA201005110,100511,ANA01
ANA201005120,100512,ANA01
ANA201005140,100514,ANA01
ANA201005150,100515,ANA01
ANA201005160,100516,ANA01
ANA201005240,100524,ANA01
ANA201005250,100525,ANA01
ANA201005260,100526,ANA01
ANA201005280,100528,ANA01
ANA201005290,100529,ANA01
ANA201005300,100530,ANA01
ANA201006140,100614,ANA01
ANA201006150,100615,ANA01
ANA201006160,100616,ANA01
ANA201006220,100622,ANA01
ANA201006230,100623,ANA01
ANA201006240,100624,ANA01
ANA201006250,100625,ANA01
ANA201006260,100626,ANA01
ANA201006270,100627,ANA01
ANA201006290,100629,ANA01
ANA201006300,100630,ANA01
ANA201007010,100701,ANA01
ANA201007020,100702,ANA01
ANA201007030,100703,ANA01
ANA201007040,100704,ANA01
ANA201007150,100715,ANA01
ANA201007160,100716,ANA01
ANA201007170,100717,ANA01
ANA201007180,100718,ANA01
ANA201007260,100726,ANA01
ANA201007270,100727,ANA01
ANA201007280,100728,ANA01
ANA201007300,100730,ANA01
ANA201007310,100731,ANA01
ANA201008010,100801,ANA01
ANA201008090,100809,ANA01
ANA201008100,100810,ANA01
ANA201008110,100811,ANA01
ANA201008130,100813,ANA01
ANA201008140,100814,ANA01
ANA201008150,100815,ANA01
ANA201008230,100823,ANA01
ANA201008240,100824,ANA01
ANA201008250,100825,ANA01
ANA201008270,100827,ANA01
ANA201008280,100828,ANA01
ANA201008290,100829,ANA01
ANA201009060,100906,ANA01
ANA201009070,100907,ANA01
ANA201009080,100908,ANA01
ANA201009100,100910,ANA01
ANA201009110,100911,ANA01
ANA201009120,100912,ANA01
ANA201009200,100920,ANA01
ANA201009210,100921,ANA01
ANA201009220,100922,ANA01
ANA201009240,100924,ANA01
ANA201009250,100925,ANA01
ANA201009260,100926,ANA01
ANA201009270,100927,ANA01
ANA201009280,100928,ANA01
ANA201009290,100929,ANA01
ANA201104080,20110408,ANA01
ANA201104090,20110409,ANA01
ANA201104100,20110410,ANA01
ANA201104110,20110411,ANA01
ANA201104120,20110412,ANA01
ANA201104130,20110413,ANA01
ANA201104210,20110421,ANA01
ANA201104220,20110422,ANA01
ANA201104230,20110423,ANA01
ANA201104240,20110424,ANA01
ANA201104250,20110425,ANA01
ANA201104260,20110426,ANA01
ANA201104270,20110427,ANA01
ANA201105060,20110506,ANA01
ANA201105070,20110507,ANA01
ANA201105080,20110508,ANA01
ANA201105090,20110509,ANA01
ANA201105100,20110510,ANA01
ANA201105110,20110511,ANA01
ANA201105200,20110520,ANA01
ANA201105210,20110521,ANA01
ANA201105220,20110522,ANA01
ANA201105230,20110523,ANA01
ANA201105240,20110524,ANA01
ANA201105250,20110525,ANA01
ANA201105260,20110526,ANA01
ANA201106030,20110603,ANA01
ANA201106040,20110604,ANA01
ANA201106050,20110605,ANA01
ANA201106060,20110606,ANA01
ANA201106070,20110607,ANA01
ANA201106080,20110608,ANA01
ANA201106100,20110610,ANA01
ANA201106110,20110611,ANA01
ANA201106120,20110612,ANA01
ANA201106270,20110627,ANA01
ANA201106280,20110628,ANA01
ANA201106290,20110629,ANA01
ANA201107010,20110701,ANA01
ANA201107020,20110702,ANA01
ANA201107030,20110703,ANA01
ANA201107040,20110704,ANA01
ANA201107050,20110705,ANA01
ANA201107060,20110706,ANA01
ANA201107070,20110707,ANA01
ANA201107080,20110708,ANA01
ANA201107090,20110709,ANA01
ANA201107100,20110710,ANA01
ANA201107190,20110719,ANA01
ANA201107200,20110720,ANA01
ANA201107210,20110721,ANA01
ANA201108020,20110802,ANA01
ANA201108030,20110803,ANA01
ANA201108040,20110804,ANA01
ANA201108050,20110805,ANA01
ANA201108060,20110806,ANA01
ANA201108070,20110807,ANA01
ANA201108150,20110815,ANA01
ANA201108160,20110816,ANA01
ANA201108170,20110817,ANA01
ANA201108180,20110818,ANA01
ANA201108190,20110819,ANA01
ANA201108200,20110820,ANA01
ANA201108210,20110821,ANA01
ANA201108230,20110823,ANA01
ANA201108240,20110824,ANA01
ANA201109020,20110902,ANA01
ANA201109030,20110903,ANA01
ANA201109040,20110904,ANA01
ANA201109050,20110905,ANA01
ANA201109060,20110906,ANA01
ANA201109070,20110907,ANA01
ANA201109090,20110909,ANA01
ANA201109100,20110910,ANA01
ANA201109110,20110911,ANA01
ANA201109230,20110923,ANA01
ANA201109240,20110924,ANA01
ANA201109250,20110925,ANA01
ANA201109260,20110926,ANA01
ANA201109270,20110927,ANA01
ANA201109280,20110928,ANA01
ANA201204060,120406,ANA01
ANA201204070,120407,ANA01
ANA201204080,120408,ANA01
ANA201204160,120416,ANA01
ANA201204170,120417,ANA01
ANA201204180,120418,ANA01
ANA201204190,120419,ANA01
ANA201204200,120420,ANA01
ANA201204210,120421,ANA01
ANA201204220,120422,ANA01
ANA201204300,120430,ANA01
ANA201205010,120501,ANA01
ANA201205020,120502,ANA01
ANA201205030,120503,ANA01
ANA201205040,120504,ANA01
ANA201205050,120505,ANA01
ANA201205060,120506,ANA01
ANA201205140,120514,ANA01
ANA201205150,120515,ANA01
ANA201205160,120516,ANA01
ANA201205170,120517,ANA01
ANA201205280,120528,ANA01
ANA201205290,120529,ANA01
ANA201205300,120530,ANA01
ANA201206010,120601,ANA01
ANA201206020,120602,ANA01
ANA201206030,120603,ANA01
ANA201206040,120604,ANA01
ANA201206050,120605,ANA01
ANA201206060,120606,ANA01
ANA201206150,120615,ANA01
ANA201206160,120616,ANA01
ANA201206170,120617,ANA01
ANA201206180,120618,ANA01
ANA201206190,120619,ANA01
ANA201206200,120620,ANA01
ANA201206220,120622,ANA01
ANA201206230,120623,ANA01
ANA201206240,120624,ANA01
ANA201207050,120705,ANA01
ANA201207060,120706,ANA01
ANA201207070,120707,ANA01
ANA201207080,120708,ANA01
ANA201207200,120720,ANA01
ANA201207210,120721,ANA01
ANA201207220,120722,ANA01
ANA201207230,120723,ANA01
ANA201207240,120724,ANA01
ANA201207250,120725,ANA01
ANA201207270,120727,ANA01
ANA201207280,120728,ANA01
ANA201207290,120729,ANA01
ANA201208100,120810,ANA01
ANA201208110,120811,ANA01
ANA201208120,120812,ANA01
ANA201208130,120813,ANA01
ANA201208140,120814,ANA01
ANA201208150,120815,ANA01
ANA201208160,120816,ANA01
ANA201208170,120817,ANA01
ANA201208180,120818,ANA01
ANA201208190,120819,ANA01
ANA201208280,120828,ANA01
ANA201208290,120829,ANA01
ANA201208300,120830,ANA01
ANA201209070,120907,ANA01
ANA201209080,120908,ANA01
ANA201209090,120909,ANA01
ANA201209100,120910,ANA01
ANA201209110,120911,ANA01
ANA201209120,120912,ANA01
ANA201209130,120913,ANA01
ANA201209180,120918,ANA01
ANA201209190,120919,ANA01
ANA201209200,120920,ANA01
ANA201209210,120921,ANA01
ANA201209220,120922,ANA01
ANA201209230,120923,ANA01
ANA201209250,120925,ANA01
ANA201209260,120926,ANA01
ANA201209270,120927,ANA01
ANA201304090,20130409,ANA01
ANA201304100,20130410,ANA01
ANA201304110,20130411,ANA01
ANA201304120,20130412,ANA01
ANA201304130,20130413,ANA01
ANA201304140,20130414,ANA01
ANA201304190,20130419,ANA01
ANA201304200,20130420,ANA01
ANA201304210,20130421,ANA01
ANA201304220,20130422,ANA01
ANA201304230,20130423,ANA01
ANA201304240,20130424,ANA01
ANA201305020,20130502,ANA01
ANA201305030,20130503,ANA01
ANA201305040,20130504,ANA01
ANA201305050,20130505,ANA01
ANA201305130,20130513,ANA01
ANA201305140,20130514,ANA01
ANA201305150,20130515,ANA01
ANA201305160,20130516,ANA01
ANA201305170,20130517,ANA01
ANA201305180,20130518,ANA01
ANA201305190,20130519,ANA01
ANA201305210,20130521,ANA01
ANA201305220,20130522,ANA01
ANA201305290,20130529,ANA01
ANA201305300,20130530,ANA01
ANA201305310,20130531,ANA01
ANA201306010,20130601,ANA01
ANA201306020,20130602,ANA01
ANA201306030,20130603,ANA01
